"filename", "language", "JavaScript", "CSS", "JSON", "SCSS", "HTML", "comment", "blank", "total"
"c:\nodeprojects\online_school_app\client\package.json", "JSON", 0, 0, 63, 0, 0, 0, 1, 64
"c:\nodeprojects\online_school_app\client\public\index.html", "HTML", 0, 0, 0, 0, 17, 23, 1, 41
"c:\nodeprojects\online_school_app\client\public\manifest.json", "JSON", 0, 0, 10, 0, 0, 0, 1, 11
"c:\nodeprojects\online_school_app\client\src\App.css", "CSS", 0, 3, 0, 0, 0, 0, 1, 4
"c:\nodeprojects\online_school_app\client\src\App.js", "JavaScript", 82, 0, 0, 0, 0, 0, 2, 84
"c:\nodeprojects\online_school_app\client\src\App.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 3
"c:\nodeprojects\online_school_app\client\src\components\AttachmentPanel.js", "JavaScript", 64, 0, 0, 0, 0, 0, 3, 67
"c:\nodeprojects\online_school_app\client\src\components\Copyright.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 16
"c:\nodeprojects\online_school_app\client\src\components\CustomCard.js", "JavaScript", 75, 0, 0, 0, 0, 0, 5, 80
"c:\nodeprojects\online_school_app\client\src\components\Dashboard.js", "JavaScript", 196, 0, 0, 0, 0, 1, 9, 206
"c:\nodeprojects\online_school_app\client\src\components\Homework.js", "JavaScript", 185, 0, 0, 0, 0, 0, 6, 191
"c:\nodeprojects\online_school_app\client\src\components\HomeworksList.js", "JavaScript", 54, 0, 0, 0, 0, 1, 6, 61
"c:\nodeprojects\online_school_app\client\src\components\PrivateRoute.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 17
"c:\nodeprojects\online_school_app\client\src\components\SignIn.js", "JavaScript", 131, 0, 0, 0, 0, 0, 5, 136
"c:\nodeprojects\online_school_app\client\src\components\Solution.js", "JavaScript", 175, 0, 0, 0, 0, 0, 6, 181
"c:\nodeprojects\online_school_app\client\src\components\SolutionsList.js", "JavaScript", 61, 0, 0, 0, 0, 0, 6, 67
"c:\nodeprojects\online_school_app\client\src\components\Task.js", "JavaScript", 132, 0, 0, 0, 0, 0, 8, 140
"c:\nodeprojects\online_school_app\client\src\components\TaskWithAnswer.js", "JavaScript", 130, 0, 0, 0, 0, 0, 7, 137
"c:\nodeprojects\online_school_app\client\src\config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 4
"c:\nodeprojects\online_school_app\client\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\nodeprojects\online_school_app\client\src\redux\actions\homeworkActions.js", "JavaScript", 52, 0, 0, 0, 0, 0, 6, 58
"c:\nodeprojects\online_school_app\client\src\redux\actions\homeworkListActions.js", "JavaScript", 36, 0, 0, 0, 0, 0, 5, 41
"c:\nodeprojects\online_school_app\client\src\redux\actions\solutionActions.js", "JavaScript", 33, 0, 0, 0, 0, 0, 4, 37
"c:\nodeprojects\online_school_app\client\src\redux\actions\solutionListActions.js", "JavaScript", 36, 0, 0, 0, 0, 0, 5, 41
"c:\nodeprojects\online_school_app\client\src\redux\actions\userActions.js", "JavaScript", 40, 0, 0, 0, 0, 0, 5, 45
"c:\nodeprojects\online_school_app\client\src\redux\constants\index.js", "JavaScript", 41, 0, 0, 0, 0, 0, 12, 53
"c:\nodeprojects\online_school_app\client\src\redux\reducers\authReducer.js", "JavaScript", 38, 0, 0, 0, 0, 0, 1, 39
"c:\nodeprojects\online_school_app\client\src\redux\reducers\homeworkListReducer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 2, 33
"c:\nodeprojects\online_school_app\client\src\redux\reducers\homeworkReducer.js", "JavaScript", 28, 0, 0, 0, 0, 0, 1, 29
"c:\nodeprojects\online_school_app\client\src\redux\reducers\rootReducer.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 20
